consommation_energie,classe_consommation_energie,estimation_ges,classe_estimation_ges,annee_construction,surface_habitable,nombre_niveaux,surface_baies_orientees_nord,surface_baies_orientees_est_ouest,surface_baies_orientees_sud,surface_planchers_hauts_deperditifs,surface_planchers_bas_deperditifs,surface_parois_verticales_opaques_deperditives,longitude,latitude,tr001_modele_dpe_type_libelle,tr002_type_batiment_libelle
266.0,E,8.0,B,1947,94.0,1.0,0.0,0.0,0.0,56.0,50.43,115.7,3.549584,44.536849,Vente,Maison
249.69,E,60.96,F,1980,170.0,1.0,4.13,30.62,17.9,170.0,170.0,161.0,3.474929,44.527267,Vente,Maison
217.41,D,65.22,F,1948,107.0,2.0,0.64,0.0,8.42,118.5,26.0,0.0,3.498452,44.520897,Vente,Maison
154.88,D,2.21,A,1973,95.0,2.0,0.0,6.76,10.5,67.0,117.0,116.0,3.293013,44.561295,Vente,Maison
396.92,F,12.92,C,1948,78.0,2.0,0.48,4.16,5.57,78.0,39.0,0.0,3.500176,44.51755,Vente,Maison
204.97,D,8.05,B,1949,45.0,1.0,3.36,0.0,0.0,45.0,45.0,13.0,3.50064,44.517827,Location,Appartement
328.94,E,14.01,C,1949,23.0,1.0,0.0,1.41,0.0,23.0,23.0,10.0,3.50064,44.517827,Location,Appartement
232.04,E,9.5,B,1949,40.0,1.0,3.96,0.0,0.0,40.0,40.0,12.0,3.50064,44.517827,Location,Appartement
243.82,E,12.27,C,1949,70.0,2.0,2.8,0.0,1.8,50.0,35.0,30.0,3.50064,44.517827,Location,Appartement
150.0,C,35.0,D,1948,61.0,1.0,4.97,0.0,4.88,61.0,61.0,78.65,3.252494,44.870154,Location,Appartement
152.38,D,5.94,A,1980,71.0,1.0,4.46,0.0,10.51,71.0,71.0,30.0,3.491323,44.518927,Vente,Appartement
289.57,E,16.34,C,1980,100.0,2.0,0.0,8.91,1.24,100.0,70.0,80.0,3.485094,44.633511,Location,Maison
378.6,F,21.63,D,1985,50.26,1.0,0.0,6.89,0.0,85.28,48.0,60.0,3.531917,44.376313,Vente,Appartement
594.0,G,178.0,G,1948,150.0,2.0,13.03,4.39,10.01,107.4,150.0,190.93,3.28604,44.725221,Vente,Maison
347.0,F,91.0,G,1948,120.33,2.0,1.54,7.14,12.19,82.9,82.9,124.04,3.542353,44.535779,Vente,Maison
215.0,D,57.0,F,1947,106.0,2.0,1.34,0.0,10.73,56.0,56.0,160.0,3.522217,44.376486,Vente,Maison
234.95,E,11.82,C,1981,74.0,1.0,8.32,0.0,9.52,74.0,74.0,45.0,3.502066,44.517851,Vente,Appartement
205.21,D,12.78,C,1976,72.0,1.0,2.23,6.83,7.7,72.0,72.0,70.0,3.492988,44.519863,Vente,Appartement
174.0,D,35.0,D,1989,180.0,1.0,3.82,8.19,10.05,90.0,90.0,129.04,3.285128,44.719653,Vente,Maison
215.0,D,8.0,B,2013,84.0,2.0,0.0,0.0,4.98,38.0,38.0,56.23,3.286269,44.724607,Location,Maison
252.46,E,11.85,C,1984,49.62,1.0,0.0,6.18,1.82,49.62,49.62,56.0,3.501268,44.519429,Vente,Appartement
344.0,F,40.0,E,1948,153.0,4.0,0.0,10.05,2.68,41.0,26.5,314.0,3.200321,44.436105,Vente,Maison
247.74,E,12.07,C,1981,140.0,2.0,1.56,3.1,9.91,140.0,70.0,80.0,3.482203,44.523033,Vente,Maison
469.0,G,29.0,D,1975,81.47,1.0,3.31,13.66,12.13,81.69,81.69,96.13,3.286238,44.722651,Vente,Maison
375.0,F,14.0,C,1978,164.0,2.0,4.02,6.71,12.73,79.0,79.0,172.0,3.740158,44.365003,Vente,Maison
420.0,F,15.0,C,1948,56.8,1.0,0.0,2.47,6.0,31.84,22.68,43.67,3.047163,44.719337,Vente,Maison
138.0,C,4.0,A,2006,122.6,1.0,0.97,9.64,9.22,122.6,122.6,157.18,6.4341131,43.4249733,Vente,Maison
275.0,E,53.0,E,1948,120.0,2.0,0.55,1.09,5.06,60.0,60.0,147.48,3.179566,44.454787,Vente,Maison
207.0,D,62.0,F,1947,56.0,3.0,0.0,2.68,1.53,23.0,23.0,106.0,3.535701,44.370043,Vente,Maison
209.08,D,10.39,B,1970,95.0,2.0,2.32,5.37,6.73,30.0,30.0,100.0,3.2927,44.550137,Vente,Maison
329.37,E,10.72,B,1948,57.0,1.0,2.26,0.0,6.16,57.0,57.0,30.0,3.499404,44.51714,Vente,Appartement
440.0,F,112.0,G,1948,72.5,2.0,2.8,2.08,5.27,40.0,79.5,112.2,3.8467204,44.7290108,Vente,Maison
230.0,D,69.0,F,1947,139.82,2.0,1.3,0.0,13.29,71.0,50.0,230.69,3.200109,44.435331,Vente,Maison
146.0,C,44.0,E,2001,111.2,1.0,1.34,6.38,7.72,112.0,111.2,134.0,3.655158,44.24014,Vente,Maison
428.0,F,128.0,G,1973,90.31,1.0,3.72,5.18,8.45,91.98,85.79,137.55,3.22746,44.586073,Vente,Maison
409.0,F,13.0,C,1947,51.5,2.0,0.0,2.61,0.0,20.0,31.5,85.0,3.53523,44.370288,Vente,Appartement
590.0,G,157.0,G,1948,50.41,1.0,1.3,6.02,5.08,50.41,55.15,96.44,3.543101,44.533237,Location,Maison
382.06,F,17.38,C,1980,130.0,3.0,0.0,14.55,0.0,130.0,70.17,127.0,3.502822,44.512958,Vente,Maison
112.0,C,33.0,D,1947,106.5,2.0,0.0,4.29,6.36,81.42,53.0,147.71,-0.8663145,45.7086926,Vente,Maison
250.1,E,12.13,C,1996,58.5,1.0,0.0,7.28,0.0,58.5,58.5,78.45,3.503311,44.519938,Location,Appartement
213.57,D,64.07,F,1957,62.0,1.0,2.4,3.0,6.77,62.0,62.0,90.0,3.507797,44.522255,Vente,Maison
148.0,C,35.0,D,2001,103.0,2.0,0.0,5.19,2.34,70.0,70.0,118.0,3.655403,44.240182,Vente,Maison
577.0,G,85.0,G,1948,108.0,4.0,0.0,9.22,7.78,54.0,108.0,161.0,3.906596,44.594913,Vente,Maison
555.48,G,166.64,G,1969,60.0,1.0,0.0,4.55,3.63,60.0,60.0,83.0,3.390899,44.778221,Vente,Maison
387.49,F,22.58,D,1975,71.0,1.0,1.95,6.76,3.48,71.0,71.0,94.8,3.491323,44.518927,Vente,Appartement
227.83,D,6.35,B,1986,75.0,0.0,1.4,0.5,0.0,30.6,45.0,28.45,3.208087,44.191196,Vente,Maison
72.77,B,21.83,D,1948,137.0,3.0,18.12,1.81,0.49,137.0,56.0,206.0,3.341886,44.467411,Location,Maison
229.47,D,12.09,C,2009,105.0,1.0,5.11,1.96,6.75,105.0,105.0,108.9,3.392982,44.499276,Vente,Maison
575.0,G,7.0,B,1978,62.0,1.0,0.54,10.05,0.0,62.0,62.0,84.0,3.69515,44.373796,Vente,Maison
185.0,D,55.0,E,1978,51.0,1.0,0.0,3.99,3.36,51.0,51.0,68.0,3.533948,44.373927,Location,Appartement
347.79,F,104.34,G,1948,86.0,1.0,0.0,7.29,2.23,128.0,58.0,100.0,3.50273,44.520731,Copropriete,Maison
328.15,E,19.33,C,1985,108.0,1.0,2.88,12.03,2.88,108.0,81.0,130.0,3.54113,44.481684,Location,Maison
185.64,D,55.69,E,1977,40.0,1.0,0.0,7.71,0.0,40.0,40.0,46.9,3.548115,44.536173,Location,Maison
373.0,F,111.0,G,1948,78.0,2.0,0.96,2.78,2.68,44.86,44.86,90.64,3.187417,44.443168,Vente,Maison
605.0,G,7.0,B,1948,112.2,3.0,0.0,11.8,7.88,48.83,125.35,128.0,3.542185,44.536494,Vente,Maison
328.0,E,17.0,C,1978,49.0,1.0,0.0,5.3,0.0,49.0,49.0,72.5,3.533592,44.370585,Vente,Appartement
251.0,E,6.0,B,1947,132.0,2.0,13.15,0.0,0.0,76.0,56.0,150.0,3.535876,44.370664,Vente,Maison
302.0,E,90.0,G,1948,133.0,1.0,13.42,8.16,0.0,86.5,86.0,136.0,3.655403,44.240182,Vente,Maison
101.0,C,30.0,D,1989,135.0,1.0,1.34,9.72,14.02,70.0,125.0,107.0,3.549068,44.537397,Location,Maison
434.0,F,24.0,D,1948,50.0,1.0,1.92,2.0,0.0,50.0,50.0,78.0,3.5951225,44.3246561,Location,Appartement
450.0,F,27.0,D,1948,111.0,1.0,3.05,5.94,13.28,98.0,98.0,162.0,6.2504983,46.2844516,Vente,Maison
210.0,D,47.0,E,1948,126.0,0.0,0.0,0.0,0.0,126.0,126.0,0.0,3.230594,44.239448,Vente,Appartement
225.19,D,4.47,A,1948,92.0,0.0,0.0,0.0,0.0,92.0,92.0,0.0,3.230594,44.239448,Vente,Appartement
372.0,F,20.0,C,1978,45.6,1.0,0.0,6.36,0.78,45.6,45.6,67.1,3.577831,44.530863,Vente,Appartement
330.0,E,15.0,C,1978,127.0,2.0,1.92,4.1,7.64,81.4,129.18,166.78,3.257155,44.9223,Vente,Maison
623.0,G,186.0,G,1947,56.0,2.0,2.28,0.0,11.32,36.0,36.0,84.0,3.655403,44.240182,Vente,Maison
339.0,F,17.0,C,1978,135.2,3.0,1.09,16.4,6.2,140.7,186.0,179.0,3.246989,44.878548,Vente,Maison
287.0,E,17.0,C,1983,132.0,2.0,0.0,12.83,3.1,73.0,45.0,154.0,3.346416,44.464377,Vente,Maison
104.0,C,21.0,D,2004,117.62,1.0,1.52,6.2,6.97,84.0,105.14,93.81,3.248569,44.87599,Vente,Maison
306.0,E,91.0,G,1948,205.14,3.0,0.79,17.09,7.04,159.0,81.0,237.14,3.196702,44.44391,Vente,Appartement
436.0,F,130.0,G,1948,52.2,4.0,0.58,0.0,6.68,31.5,75.5,110.3,3.536614,44.369486,Vente,Maison
318.0,E,95.0,G,1948,52.0,4.0,0.58,0.0,6.68,60.0,75.5,110.28,3.536614,44.369486,Vente,Maison
257.0,E,58.0,F,1948,55.16,1.0,15.78,0.0,0.0,55.16,55.16,44.48,3.548383,44.536276,Location,Appartement
213.0,D,10.0,B,2001,100.0,1.0,0.0,9.67,3.72,88.0,88.0,115.77,3.547329,44.537084,Location,Maison
157.0,D,5.0,A,2001,47.15,1.0,0.0,0.0,6.21,47.15,47.15,17.34,3.201114,44.43673,Location,Maison
250.0,E,11.0,C,1983,105.0,2.0,0.83,9.13,2.68,65.0,67.0,106.0,3.655403,44.240182,Vente,Maison
339.0,F,16.0,C,2001,35.0,1.0,0.72,0.0,3.38,37.0,35.0,51.45,3.246868,44.879036,Location,Appartement
322.0,E,14.0,C,1983,81.0,1.0,1.34,4.02,4.96,81.0,81.0,93.0,3.655403,44.240182,Vente,Maison
146.0,C,8.0,B,1978,173.0,1.0,17.24,0.0,0.0,174.0,173.0,156.6,3.257155,44.9223,Vente,Maison
340.0,F,102.0,G,1948,116.0,3.0,0.8,4.02,8.71,45.0,45.0,202.0,3.536174,44.370564,Vente,Maison
160.0,D,48.0,E,1947,136.25,2.0,1.4,3.97,5.09,79.0,69.38,120.9,3.554132,44.536786,Vente,Maison
250.0,E,75.0,F,1948,52.75,1.0,0.0,10.89,0.0,52.75,52.75,54.9,3.548582,44.534983,Vente,Appartement
363.0,F,4.0,A,1947,57.0,3.0,7.12,0.0,0.0,33.54,56.48,118.6,2.750937,45.0837488,Vente,Maison
303.0,E,72.0,F,1978,100.0,1.0,0.0,7.34,6.5,70.0,64.0,88.0,3.281338,44.728133,Vente,Maison
256.0,E,76.0,F,1978,93.6,2.0,8.19,1.74,1.74,85.6,93.6,126.14,3.281338,44.728133,Location,Maison
312.0,E,85.0,G,1947,57.26,1.0,5.31,2.64,5.31,24.82,57.25,113.17,3.907276,44.593714,Vente,Appartement
132.0,C,39.0,E,1947,90.0,2.0,4.02,0.0,8.14,45.0,45.0,78.0,3.523344,44.376771,Location,Maison
312.0,E,55.0,E,1947,40.0,2.0,3.92,0.0,1.52,25.0,20.0,92.0,3.522347,44.376825,Vente,Maison
387.0,F,15.0,C,1983,65.0,1.0,3.35,0.0,3.62,65.0,65.0,80.0,3.655403,44.240182,Vente,Maison
576.0,G,7.0,B,1947,64.5,2.0,0.0,10.64,0.0,28.0,28.0,108.0,3.722144,44.388959,Location,Maison
403.0,F,13.0,C,1947,64.0,1.0,0.0,9.29,0.0,40.0,40.0,106.0,3.5951225,44.3246561,Location,Appartement
174.0,D,52.0,E,1947,120.0,3.0,0.0,0.0,0.0,40.0,40.0,65.0,3.524965,44.376949,Vente,Maison
289.0,E,13.0,C,1974,126.8,3.0,1.78,6.66,23.26,63.25,70.5,170.0,3.869178,44.406332,Vente,Maison
327.0,E,18.0,C,2006,21.79,1.0,0.0,1.37,3.72,21.79,21.79,63.76,3.345915,44.469456,Vente,Maison
255.0,E,14.0,C,1978,75.0,1.0,1.34,5.5,8.18,75.0,75.0,88.0,3.533987,44.373617,Location,Appartement
373.0,F,54.0,E,1948,140.0,2.0,3.62,9.08,2.68,95.0,70.0,132.0,3.655403,44.240182,Vente,Maison
215.0,D,3.0,A,2006,93.0,3.0,0.0,11.27,0.0,51.52,48.0,152.26,3.931767,44.441866,Vente,Maison
179.0,D,37.0,E,1948,75.36,1.0,0.0,7.86,4.48,75.36,75.36,142.37,3.246868,44.879036,Vente,Appartement
239.0,E,39.0,E,1948,28.2,4.0,0.0,1.89,0.0,28.2,28.2,65.03,3.246868,44.879036,Vente,Appartement
255.0,E,45.0,E,1948,28.2,4.0,0.0,1.89,0.0,28.2,28.2,63.14,3.246868,44.879036,Vente,Appartement
420.0,F,12.0,C,1947,108.0,3.0,0.0,6.8,0.0,44.0,54.0,146.0,3.536948,44.369681,Vente,Maison
353.0,F,82.0,G,1948,83.0,1.0,2.68,10.27,0.0,83.0,83.0,98.0,3.655403,44.240182,Vente,Maison
248.0,E,12.0,C,2001,69.0,1.0,1.34,1.34,2.68,69.0,64.0,80.0,3.536315,44.36972,Location,Appartement
242.0,E,12.0,C,2001,78.0,2.0,0.0,7.42,2.6,71.0,71.0,106.0,3.536315,44.36972,Location,Appartement
288.0,E,10.0,B,1985,105.0,1.0,4.98,2.85,6.06,95.47,95.47,124.16,3.204836,44.432978,Vente,Maison
291.0,E,51.0,E,1948,20.8,1.0,0.0,2.29,0.0,20.8,20.8,50.28,3.246868,44.879036,Vente,Logements collectifs
566.0,G,34.0,D,1948,51.18,2.0,0.0,0.0,6.12,30.0,32.0,56.38,3.169596,44.437091,Vente,Maison
305.0,E,91.0,G,1948,94.63,3.0,7.22,2.18,14.86,39.0,39.0,105.04,3.146143,44.438015,Vente,Maison
307.0,E,92.0,G,1975,180.71,4.0,0.0,22.64,1.36,91.04,187.96,271.25,3.248192,44.881922,Vente,Maison
282.0,E,84.0,G,1975,180.71,4.0,0.0,22.64,1.36,91.04,187.96,271.25,3.248192,44.881922,Vente,Maison
276.0,E,15.0,C,1983,105.0,2.0,1.34,9.52,0.0,60.0,60.0,126.0,3.545555,44.533657,Vente,Maison
234.0,E,70.0,F,1947,85.0,2.0,0.0,9.48,3.62,50.0,45.0,114.0,3.536186,44.370103,Vente,Maison
329.0,E,20.0,C,1975,151.0,2.0,0.0,16.06,5.37,62.0,62.0,220.0,3.655403,44.240182,Vente,Maison
256.0,E,6.0,B,1948,66.0,1.0,3.22,2.68,2.68,51.0,48.0,106.0,3.319532,44.30264,Location,Maison
691.0,G,27.0,D,1948,85.0,1.0,5.37,1.34,5.37,85.0,85.0,96.0,3.655403,44.240182,Vente,Maison
401.0,F,23.0,D,1978,80.97,1.0,15.7,0.0,0.0,80.93,80.92,115.85,3.344773,44.469912,Vente,Maison
329.0,E,14.0,C,1948,86.61,2.0,0.8,13.21,1.76,46.61,86.61,132.46,3.286493,44.724512,Location,Maison
275.0,E,82.0,G,1948,124.66,4.0,0.0,30.35,0.0,38.0,150.84,250.15,3.542769,44.533739,Vente,Maison
141.0,C,1.0,A,2006,128.0,1.0,2.68,0.0,19.12,140.0,128.0,118.0,3.319532,44.30264,Vente,Maison
691.0,G,36.0,E,1974,45.94,2.0,3.93,0.0,1.32,32.49,32.49,89.52,3.919044,44.436994,Vente,Maison
220.0,D,40.0,E,2001,65.0,1.0,0.0,13.07,0.0,44.12,50.05,110.56,3.342143,44.465979,Location,Appartement
227.0,D,39.0,E,2001,45.0,1.0,0.0,4.76,0.0,47.25,45.78,85.44,3.342308,44.465951,Location,Appartement
305.0,E,91.0,G,2001,20.0,1.0,3.94,0.0,0.0,20.0,20.0,50.49,3.342308,44.465951,Location,Appartement
285.0,E,85.0,G,1948,119.0,2.0,2.34,5.28,12.66,64.8,64.0,104.16,3.145996,44.438001,Vente,Maison
122.0,C,5.0,A,2012,155.46,1.0,2.97,9.6,6.08,155.46,155.46,138.86,3.544094,44.535896,Vente,Maison
43.79,A,1.43,A,2016,107.74,0.0,3.76,5.83,9.21,107.74,107.74,107.74,3.926273,44.250193,Neuf,Maison
333.0,F,10.0,B,1947,45.88,1.0,1.89,2.6,0.0,31.91,31.98,48.24,3.14592,44.438014,Location,Maison
286.0,E,3.0,A,1947,61.0,2.0,8.28,0.0,0.0,30.0,30.0,25.0,3.800536,44.224721,Vente,Maison
353.0,F,4.0,A,1947,55.0,2.0,5.37,0.0,0.0,28.0,27.0,0.0,1.7345953,44.4079948,Vente,Maison
395.0,F,111.0,G,1948,176.0,2.0,7.62,8.82,14.64,109.75,176.0,233.17,3.246868,44.879036,Vente,Maison
563.0,G,34.0,D,1948,50.0,1.0,1.34,6.39,1.34,50.0,50.0,72.0,3.742365,44.364111,Vente,Maison
120.0,C,31.0,D,2001,153.6,2.0,1.45,0.0,22.18,114.7,153.6,164.7,3.547417,44.53322,Vente,Maison
249.0,E,43.0,E,1947,110.0,2.0,11.0,0.0,0.0,0.0,55.0,0.0,3.343062,44.467192,Vente,Maison
281.0,E,3.0,A,1983,88.0,2.0,6.3,1.34,9.28,44.0,44.0,124.0,3.655403,44.240182,Vente,Maison
80.04,B,0.08,A,2015,48.45,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
80.37,B,0.08,A,2015,48.25,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
81.06,B,0.08,A,2015,83.72,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
81.32,B,0.08,A,2015,83.46,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
81.32,B,0.08,A,2015,83.46,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
80.39,B,0.08,A,2015,46.23,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
80.97,B,0.08,A,2015,45.9,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
80.99,B,0.08,A,2015,45.89,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
80.37,B,0.08,A,2015,63.33,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
80.4,B,0.08,A,2015,63.31,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
80.37,B,0.08,A,2015,63.33,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
80.35,B,0.08,A,2015,63.35,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
80.28,B,0.08,A,2015,63.4,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
229.0,D,68.0,F,1948,98.1,2.0,0.0,0.0,14.93,65.32,98.12,142.3,3.249887,44.88221,Vente,Maison
80.26,B,0.08,A,2015,63.42,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
81.08,B,0.08,A,2015,65.77,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
81.08,B,0.08,A,2015,65.77,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
80.95,B,0.08,A,2015,65.87,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
80.95,B,0.08,A,2015,65.87,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
81.06,B,0.08,A,2015,65.78,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
81.05,B,0.08,A,2015,65.79,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
80.84,B,0.08,A,2015,47.97,0.0,39.63,158.37,40.5,475.52,475.52,475.52,3.504432,44.529542,Neuf,Appartement
72.22,B,0.07,A,2016,74.45,0.0,19.38,16.37,67.35,210.35,210.35,210.35,3.504432,44.529542,Neuf,Appartement
72.87,B,0.07,A,2016,43.87,0.0,19.38,16.37,67.35,210.35,210.35,210.35,3.504432,44.529542,Neuf,Appartement
72.9,B,0.07,A,2016,43.85,0.0,19.38,16.37,67.35,210.35,210.35,210.35,3.504432,44.529542,Neuf,Appartement
72.64,B,0.07,A,2016,44.01,0.0,19.38,16.37,67.35,210.35,210.35,210.35,3.504432,44.529542,Neuf,Appartement
72.77,B,0.07,A,2016,68.89,0.0,19.38,16.37,67.35,210.35,210.35,210.35,3.504432,44.529542,Neuf,Appartement
72.53,B,0.07,A,2016,69.12,0.0,19.38,16.37,67.35,210.35,210.35,210.35,3.504432,44.529542,Neuf,Appartement
