consommation_energie,classe_consommation_energie,estimation_ges,classe_estimation_ges,annee_construction,surface_habitable,nombre_niveaux,surface_baies_orientees_nord,surface_baies_orientees_est_ouest,surface_baies_orientees_sud,surface_planchers_hauts_deperditifs,surface_planchers_bas_deperditifs,surface_parois_verticales_opaques_deperditives,longitude,latitude,tr001_modele_dpe_type_libelle,tr002_type_batiment_libelle
438.0,F,26.0,D,1978,27.35,1.0,0.0,7.65,0.0,27.35,27.35,43.39,,,Vente,Appartement
434.0,F,70.0,F,1947,80.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
226.0,D,3.0,A,2006,117.56,1.0,1.33,11.39,5.47,117.56,117.56,117.48,,,Vente,Maison
81.0,B,22.0,D,1947,45.2,1.0,1.0,2.38,4.78,23.0,37.68,82.0,,,Location,Appartement
114.0,C,31.0,D,1947,81.0,2.0,0.0,4.89,8.41,46.55,40.5,88.33,,,Location,Maison
223.0,D,11.0,C,1983,46.87,1.0,0.0,0.0,8.78,46.87,46.87,29.77,,,Vente,Appartement
509.0,G,31.0,D,1989,56.3,1.0,0.0,5.32,6.12,56.3,56.3,61.28,,,Vente,Appartement
472.0,G,26.0,D,1978,34.14,1.0,0.0,8.29,0.0,36.0,32.5,69.6,,,Vente,Maison
304.0,E,91.0,G,1948,70.0,1.0,3.55,2.24,7.71,112.0,70.0,85.0,,,Vente,Maison
237.58,E,71.27,F,1948,90.0,3.0,4.17,0.03,9.1,90.0,58.0,0.0,3.502297,44.520861,Vente,Maison
202.18,D,60.65,F,1948,105.3,1.0,4.08,3.57,7.38,105.3,105.3,0.0,3.50005,44.518311,Vente,Appartement
112.67,C,4.44,A,2011,125.0,1.0,2.99,2.83,12.24,125.0,125.0,0.0,,,Vente,Maison
0.0,N,0.0,N,1947,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Appartement
427.99,F,73.32,F,1989,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
444.0,F,28.0,D,1975,92.6,2.0,3.11,13.44,1.44,71.0,59.6,150.0,,,Vente,Maison
317.0,E,95.0,G,1975,86.1,2.0,7.9,0.0,0.0,42.3,43.2,132.0,,,Vente,Maison
357.0,F,20.0,C,2006,81.0,1.0,0.24,4.51,0.0,98.0,95.0,132.2,,,Location,Appartement
291.0,E,16.0,C,1989,120.0,1.0,0.86,7.45,7.68,120.0,120.0,123.0,,,Vente,Maison
0.0,N,0.0,N,1947,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
271.0,E,17.0,C,2006,86.0,2.0,2.88,6.84,10.16,47.0,47.0,129.5,,,Vente,Maison
148.0,C,2.0,A,1948,84.9,2.0,0.0,8.6,4.5,42.6,22.0,148.0,,,Vente,Maison
0.0,N,0.0,N,1947,78.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
208.39,D,31.59,D,2000,127.44,,,,,,,,3.467244,44.530681,Vente,Maison
129.0,C,4.0,A,1947,110.0,2.0,1.96,5.59,0.0,44.73,32.57,80.75,,,Vente,Maison
502.0,G,31.0,D,1948,66.63,1.0,0.88,2.4,4.0,66.63,66.63,79.0,,,Vente,Appartement
644.3,G,40.31,E,1970,82.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
0.0,N,0.0,N,1789,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
433.0,F,70.0,F,1948,76.42,2.0,1.16,3.61,0.0,39.23,37.19,98.91,,,Vente,Maison
131.0,C,5.0,A,2006,144.0,1.0,2.3,11.8,7.4,70.0,100.0,90.9,,,Vente,Maison
473.0,G,29.0,D,1948,85.0,2.0,0.0,9.87,0.0,54.0,42.0,136.36,3.2080918,45.6218562,Vente,Maison
0.0,N,0.0,N,1947,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
397.0,F,103.0,G,1948,102.59,2.0,0.66,4.35,11.95,55.19,47.4,147.8,,,Vente,Maison
482.0,G,125.0,G,1948,105.0,2.0,0.0,14.85,0.0,47.5,45.0,184.0,,,Vente,Maison
265.0,E,3.0,A,1948,86.0,2.0,2.7,8.94,3.4,31.0,55.9,132.0,,,Vente,Maison
0.0,N,0.0,N,1947,98.0,2.0,0.0,0.0,0.0,59.5,57.0,98.0,,,Vente,Maison
241.0,E,59.0,F,1948,110.55,1.0,3.29,4.94,3.36,110.55,110.55,102.26,,,Location,Appartement
399.0,F,93.0,G,1948,72.0,1.0,0.0,6.78,4.32,72.0,72.0,110.0,,,Vente,Maison
0.0,N,0.0,N,1947,130.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
0.0,N,0.0,N,1947,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Location,Maison
0.0,N,0.0,N,1947,82.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
237.0,E,15.0,C,1978,131.0,2.0,1.2,7.9,5.7,65.5,65.5,204.0,,,Vente,Maison
406.0,F,25.0,D,1989,129.26,1.0,0.55,22.65,0.0,110.42,69.25,163.14,,,Vente,Maison
598.0,G,38.0,E,1948,51.53,1.0,0.0,0.0,15.18,51.53,51.53,68.7,,,Vente,Appartement
594.99,G,35.74,D,1997,65.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
401.0,F,94.0,G,1948,56.19,1.0,0.0,7.27,0.0,56.19,56.19,64.85,,,Vente,Appartement
0.0,N,0.0,N,1800,93.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.932858,44.438421,Vente,Maison
378.0,F,74.0,F,1948,56.74,1.0,0.0,7.27,0.0,56.74,56.74,65.69,,,Vente,Appartement
350.0,F,78.0,F,1978,140.0,2.0,8.09,0.0,9.77,85.0,90.0,83.0,,,Vente,Maison
382.0,F,114.0,G,1948,98.22,2.0,0.23,10.61,4.65,49.11,49.11,147.4,,,Vente,Maison
439.0,F,117.0,G,1948,103.0,2.0,3.0,4.8,2.45,54.0,49.0,134.0,,,Vente,Maison
0.0,N,0.0,N,1947,75.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
507.0,G,32.0,D,1948,66.0,1.0,2.6,3.64,0.0,66.0,66.0,90.0,,,Vente,Appartement
311.0,E,15.0,C,2006,102.2,1.0,1.2,6.44,7.04,73.0,29.0,145.9,,,Vente,Maison
252.0,E,55.0,E,1983,133.0,1.0,0.48,9.64,5.48,124.0,110.0,146.0,,,Vente,Maison
257.0,E,60.0,F,1948,69.2,2.0,0.0,10.91,0.0,35.87,35.87,34.95,,,Location,Appartement
657.0,G,8.0,B,1948,100.0,2.0,0.0,0.0,6.0,49.5,50.0,200.0,,,Vente,Maison
0.0,N,0.0,N,1947,120.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
214.0,D,64.0,F,1948,81.15,1.0,2.81,15.26,0.0,81.15,81.15,63.63,,,Vente,Appartement
0.0,N,0.0,N,1947,78.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
229.0,D,29.0,D,1989,74.34,1.0,0.97,4.51,7.76,74.34,74.34,85.19,,,Vente,Maison
224.0,D,13.0,C,1948,180.0,2.0,3.61,4.74,6.28,85.0,94.0,183.0,,,Vente,Maison
0.0,N,0.0,N,1947,80.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
0.0,N,0.0,N,1947,98.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
628.0,G,40.0,E,1948,53.52,1.0,0.1,2.32,1.36,26.76,26.76,85.21,,,Vente,Maison
239.0,E,71.0,F,1989,80.0,1.0,2.4,3.31,6.94,80.0,80.0,83.5,,,Vente,Maison
90.36,B,27.11,D,2009,124.0,1.0,0.25,10.48,8.45,124.0,124.0,0.0,3.177491,44.30669,Vente,Maison
412.0,F,23.0,D,1983,57.0,1.0,0.0,12.15,0.0,0.0,0.0,58.0,,,Location,Appartement
432.0,F,23.0,D,1948,48.0,1.0,0.0,3.51,0.0,36.0,0.0,30.0,,,Location,Appartement
225.0,D,52.0,E,1948,75.86,1.0,1.55,15.99,0.0,75.86,75.86,82.32,,,Vente,Appartement
370.0,F,77.0,F,1975,104.0,1.0,0.6,7.22,5.7,68.0,66.0,137.6,,,Vente,Maison
0.0,N,0.0,N,1940,83.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
617.0,G,38.0,E,1975,74.0,1.0,5.76,1.5,5.88,74.0,74.0,87.5,,,Vente,Maison
314.0,E,53.0,E,1948,75.82,2.0,6.51,0.0,2.6,37.91,37.91,88.55,,,Vente,Maison
412.0,F,68.0,F,1975,150.0,2.0,10.56,3.52,2.91,80.0,105.0,207.0,,,Vente,Maison
446.0,F,65.0,F,1948,101.7,2.0,2.0,12.08,5.85,58.53,58.53,143.36,,,Vente,Maison
279.0,E,80.0,F,1948,148.92,2.0,0.0,19.3,0.0,74.46,74.46,97.94,3.276949,44.802935,Vente,Maison
166.0,D,8.0,B,1989,70.89,1.0,6.3,0.0,4.22,70.89,70.89,46.52,,,Location,Appartement
409.42,F,90.42,G,1948,130.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
694.0,G,44.0,E,1978,21.26,1.0,0.0,3.52,0.0,21.26,21.26,38.22,,,Location,Appartement
0.0,N,0.0,N,1947,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
445.0,F,27.0,D,1978,53.4,1.0,0.74,3.15,1.55,53.4,53.4,73.18,,,Vente,Maison
861.0,G,28.0,D,1978,89.0,1.0,0.0,10.48,6.32,89.0,89.0,137.5,,,Vente,Maison
689.0,G,9.0,B,1948,60.0,1.0,0.0,7.02,0.0,53.0,40.0,119.7,,,Vente,Maison
303.0,E,72.0,F,1948,55.7,2.0,0.0,6.09,0.0,36.7,29.8,96.0,,,Vente,Maison
0.0,N,0.0,N,1947,120.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Maison
359.0,F,19.0,C,2006,44.0,1.0,0.48,3.62,5.9,44.0,44.0,73.0,,,Vente,Maison
382.0,F,89.0,G,1948,110.0,2.0,1.75,15.01,0.0,55.0,55.0,167.0,,,Vente,Maison
437.0,F,27.0,D,1948,103.0,1.0,1.21,12.0,9.42,103.0,103.0,116.0,,,Vente,Appartement
462.0,G,27.0,D,1948,75.0,1.0,5.04,0.0,7.04,75.0,75.0,92.0,3.5951225,44.3246561,Vente,Appartement
270.0,E,3.0,A,1948,143.0,3.0,6.83,2.4,4.29,71.0,58.0,221.0,,,Vente,Appartement
463.0,G,6.0,B,1948,50.0,1.0,0.0,1.98,1.2,50.0,50.0,66.5,,,Vente,Appartement
243.0,E,3.0,A,1947,96.0,2.0,0.0,0.0,0.0,71.0,44.0,99.0,,,Vente,Maison
0.0,N,0.0,N,1900,97.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Logements collectifs
0.0,N,0.0,N,1900,126.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Vente,Appartement
421.0,F,25.0,D,1978,34.4,1.0,0.0,0.78,2.88,34.4,34.4,64.0,,,Vente,Appartement
100.63,C,32.71,D,2006,140.19,,,,,,,,3.504432,44.529542,Location,Maison
224.0,D,65.0,F,1947,183.0,3.0,29.7,0.0,0.0,61.0,61.0,422.0,,,Vente,Maison
421.0,F,126.0,G,1948,57.0,3.0,0.0,6.8,0.0,25.0,20.0,48.0,,,Location,Maison
340.0,F,102.0,G,1948,65.0,1.0,1.73,8.12,1.73,45.0,45.0,112.0,,,Vente,Maison
863.0,G,57.0,F,1948,95.0,1.0,2.0,15.86,2.0,90.0,78.0,172.75,,,Vente,Maison
447.0,F,23.0,D,1948,66.0,1.0,7.68,0.0,5.49,66.0,66.0,94.0,,,Vente,Maison
